Source|StoryID|File|Full Story|Title|Sentence Number|Original Sentence|Modifier Type|Modifier|Head|Preremove Sentence Part|To Remove Part|Postremove Sentence Part|Removed Words Start Index|Removed Words End Index|Head Word Index
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|3|It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|amod|purchasing|data|It is indisputable, however, that by|purchasing|such data the state increases the pressure on tax evaders to turn themselves in.|7|7|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|3|It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|amod|such|data|It is indisputable, however, that by purchasing|such|data the state increases the pressure on tax evaders to turn themselves in.|8|8|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b045.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_15.dat|By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too. Besides, the purchase of such CDs is unnecessary today, as, due to changed terms of business, many banks urge their customers to turn themselves in. Acquiring CDs with tax data of tax delinquents is therefore out of the question. It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|[no title]|3|It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.|compound|tax|evaders|It is indisputable, however, that by purchasing such data the state increases the pressure on|tax|evaders to turn themselves in.|16|16|19
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|0|It is desirable that no one channels his or her wealth past the tax authorities.|amod|his|wealth|It is desirable that no one channels|his or her|wealth past the tax authorities.|8|10|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|0|It is desirable that no one channels his or her wealth past the tax authorities.|compound|tax|authorities|It is desirable that no one channels his or her wealth past the|tax|authorities.|14|14|15
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|2|Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways.|advmod|often|wasted|Having said that, state funds are|often|wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways.|7|7|9
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|2|Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways.|amod|nonsensical|investments|Having said that, state funds are often wasted on|nonsensical|investments, so that this ideal appears unworthy of support in many ways.|10|10|12
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|2|Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways.|amod|many|ways|Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in|many|ways.|21|21|24
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|3|Besides, the trading of information is obviously driven by greed of gain.|advmod|Besides|driven||Besides,|The trading of information is obviously driven by greed of gain.|1|1|9
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|3|Besides, the trading of information is obviously driven by greed of gain.|advmod|obviously|driven|Besides, the trading of information is|obviously|driven by greed of gain.|7|7|9
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|4|Tax data that are not made available for free should therefore not be acquired by the state.|compound|Tax|data||Tax|Data that are not made available for free should therefore not be acquired by the state.|1|1|2
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b019.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_84.dat|It is desirable that no one channels his or her wealth past the tax authorities. Those who do or try to should be held accountable if at all possible. Having said that, state funds are often wasted on nonsensical investments, so that this ideal appears unworthy of support in many ways. Besides, the trading of information is obviously driven by greed of gain. Tax data that are not made available for free should therefore not be acquired by the state.|[no title]|4|Tax data that are not made available for free should therefore not be acquired by the state.|advmod|therefore|acquired|Tax data that are not made available for free should|therefore|not be acquired by the state.|11|11|14
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b005.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_26.dat|Intelligence services must urgently be regulated more tightly by parliament; this should be clear to everyone after the disclosures of Edward Snowden. Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely. Their tools, data and expertise have been used to keep us under surveillance for a long time.|[no title]|1|Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely.|amod|American|services|Granted, those concern primarily the British and|American|intelligence services, but the German services evidently do collaborate with them closely.|8|8|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b005.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_26.dat|Intelligence services must urgently be regulated more tightly by parliament; this should be clear to everyone after the disclosures of Edward Snowden. Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely. Their tools, data and expertise have been used to keep us under surveillance for a long time.|[no title]|1|Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely.|compound|intelligence|services|Granted, those concern primarily the British and American|intelligence|services, but the German services evidently do collaborate with them closely.|9|9|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b005.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_26.dat|Intelligence services must urgently be regulated more tightly by parliament; this should be clear to everyone after the disclosures of Edward Snowden. Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely. Their tools, data and expertise have been used to keep us under surveillance for a long time.|[no title]|1|Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely.|advmod|evidently|collaborate|Granted, those concern primarily the British and American intelligence services, but the German services|evidently|do collaborate with them closely.|15|15|19
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b005.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_26.dat|Intelligence services must urgently be regulated more tightly by parliament; this should be clear to everyone after the disclosures of Edward Snowden. Granted, those concern primarily the British and American intelligence services, but the German services evidently do collaborate with them closely. Their tools, data and expertise have been used to keep us under surveillance for a long time.|[no title]|2|Their tools, data and expertise have been used to keep us under surveillance for a long time.|amod|long|time|Their tools, data and expertise have been used to keep us under surveillance for a|long|time.|16|16|18
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_k018.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_29.dat|Our society is in danger of overheating due to 'never clocking off'. Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work increasingly sacrificed to commerce. But after all, the purpose of having a day off is not just to make time to go to church. Rather it should give people the chance to have a mental break. That's why there ought to be one day a week when supermarkets and shopping centres stay closed.|[no title]|1|Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.|advmod|increasingly|sacrificed|Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work|increasingly|sacrificed to commerce.|21|21|23
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_k018.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_29.dat|Our society is in danger of overheating due to 'never clocking off'. Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work increasingly sacrificed to commerce. But after all, the purpose of having a day off is not just to make time to go to church. Rather it should give people the chance to have a mental break. That's why there ought to be one day a week when supermarkets and shopping centres stay closed.|[no title]|3|Rather it should give people the chance to have a mental break.|amod|mental|break|Rather it should give people the chance to have a|mental|break.|11|11|12
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_k018.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_29.dat|Our society is in danger of overheating due to 'never clocking off'. Even though politicians stress the Christian character of our country, the last 20 years have seen the Sunday off work increasingly sacrificed to commerce. But after all, the purpose of having a day off is not just to make time to go to church. Rather it should give people the chance to have a mental break. That's why there ought to be one day a week when supermarkets and shopping centres stay closed.|[no title]|4|That's why there ought to be one day a week when supermarkets and shopping centres stay closed.|compound|shopping|centres|That's why there ought to be one day a week when supermarkets and|shopping|centres stay closed.|14|14|16
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d14.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_74.dat|I think Fritz has never been in a fight in his life. As a boy he did use to scuffle with the other choirboys, but that hardly counts as a proper brawl. And he always chickens out when things get dicey. Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.|[no title]|1|As a boy he did use to scuffle with the other choirboys, but that hardly counts as a proper brawl.|amod|other|choirboys|As a boy he did use to scuffle with the|other|choirboys, but that hardly counts as a proper brawl.|11|11|12
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d14.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_74.dat|I think Fritz has never been in a fight in his life. As a boy he did use to scuffle with the other choirboys, but that hardly counts as a proper brawl. And he always chickens out when things get dicey. Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.|[no title]|1|As a boy he did use to scuffle with the other choirboys, but that hardly counts as a proper brawl.|amod|proper|brawl|As a boy he did use to scuffle with the other choirboys, but that hardly counts as a|proper|brawl.|19|19|21
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b032.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_24.dat|There should be a higher fine for dog dirt on the pavement. Dog dirt is disgusting and a hygiene problem. Also children, adults and other animals aren't allowed to leave droppings on the pavement. If you dispose of the waste then and there yourself, no fine is necessary.|[no title]|0|There should be a higher fine for dog dirt on the pavement.|amod|higher|fine|There should be a|higher|fine for dog dirt on the pavement.|5|5|6
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b032.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_24.dat|There should be a higher fine for dog dirt on the pavement. Dog dirt is disgusting and a hygiene problem. Also children, adults and other animals aren't allowed to leave droppings on the pavement. If you dispose of the waste then and there yourself, no fine is necessary.|[no title]|0|There should be a higher fine for dog dirt on the pavement.|compound|dog|dirt|There should be a higher fine for|dog|dirt on the pavement.|8|8|9
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b032.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_24.dat|There should be a higher fine for dog dirt on the pavement. Dog dirt is disgusting and a hygiene problem. Also children, adults and other animals aren't allowed to leave droppings on the pavement. If you dispose of the waste then and there yourself, no fine is necessary.|[no title]|1|Dog dirt is disgusting and a hygiene problem.|compound|hygiene|problem|Dog dirt is disgusting and a|hygiene|problem.|7|7|8
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b032.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_24.dat|There should be a higher fine for dog dirt on the pavement. Dog dirt is disgusting and a hygiene problem. Also children, adults and other animals aren't allowed to leave droppings on the pavement. If you dispose of the waste then and there yourself, no fine is necessary.|[no title]|2|Also children, adults and other animals aren't allowed to leave droppings on the pavement.|amod|other|animals|Also children, adults and|other|animals aren't allowed to leave droppings on the pavement.|5|5|7
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_b032.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_24.dat|There should be a higher fine for dog dirt on the pavement. Dog dirt is disgusting and a hygiene problem. Also children, adults and other animals aren't allowed to leave droppings on the pavement. If you dispose of the waste then and there yourself, no fine is necessary.|[no title]|3|If you dispose of the waste then and there yourself, no fine is necessary.|advmod|then|dispose|If you dispose of the waste|then|and there yourself, no fine is necessary.|7|7|3
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d07.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_32.dat|The current tour of Tokio Hotel is breaking all records. Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That. But at times even the online sales outlets haven't been coping with the demand.|[no title]|1|Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That.|compound|advance|offices|Never have there been longer queues at the|advance|ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That.|9|9|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d07.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_32.dat|The current tour of Tokio Hotel is breaking all records. Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That. But at times even the online sales outlets haven't been coping with the demand.|[no title]|1|Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That.|compound|ticket|offices|Never have there been longer queues at the advance|ticket|offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That.|10|10|11
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d07.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_32.dat|The current tour of Tokio Hotel is breaking all records. Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That. But at times even the online sales outlets haven't been coping with the demand.|[no title]|2|But at times even the online sales outlets haven't been coping with the demand.|advmod|even|outlets|But at times|even|the online sales outlets haven't been coping with the demand.|4|4|8
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d07.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_32.dat|The current tour of Tokio Hotel is breaking all records. Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3.2km – aside from, perhaps, during the heyday of Take That. But at times even the online sales outlets haven't been coping with the demand.|[no title]|2|But at times even the online sales outlets haven't been coping with the demand.|amod|sales|outlets|But at times even the online|sales|outlets haven't been coping with the demand.|7|7|8
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|0|The prototype of Audi's new sports car has car lovers raving.|amod|new|car|The prototype of Audi's|new|sports car has car lovers raving.|5|5|8
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|0|The prototype of Audi's new sports car has car lovers raving.|compound|sports|car|The prototype of Audi's new|sports|car has car lovers raving.|6|6|8
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|1|The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.|compound|steering|system|The|steering|system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.|2|2|3
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|1|The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.|advmod|still|need|The steering system may|still|need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.|5|5|6
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|1|The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty.|amod|higher|speeds|The steering system may still need a bit of tweaking, as the car jack-knifes at|higher|speeds, and surely you'll want to be speeding a lot with that beauty.|16|16|18
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_d20.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_39.dat|The prototype of Audi's new sports car has car lovers raving. The steering system may still need a bit of tweaking, as the car jack-knifes at higher speeds, and surely you'll want to be speeding a lot with that beauty. But aside from that the car caters to pretty much every wish.|[no title]|2|But aside from that the car caters to pretty much every wish.|advmod|aside|caters|But|aside|from that the car caters to pretty much every wish.|2|2|7
MICRO|/resources/master/datasets/arg-microtexts/corpus/en/micro_k004.txt|/resources/master/parsed_sentences/parsed_sentences_micro//story_35.dat|Supermarkets and shopping centres should be allowed to open on any Sundays and holidays. This may be a change for the employees that cannot to be implemented easily. However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week. Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete. Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.|[no title]|0|Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.|compound|shopping|centres|Supermarkets and|shopping|centres should be allowed to open on any Sundays and holidays.|3|3|4
