head|count
you|1
tightly|2
model|1
relief|1
tour|1
benefit|5
supervision|1
increasing|3
constitute|2
anyone|2
living|1
place|2
bins|3
what|1
thrilling|2
sustainable|2
astonished|1
degrees|3
locations|2
uniform-free|1
tv|4
argue|2
unclear|1
's|6
self-development|1
power|2
introduce|1
offices|2
limit|2
mean|2
speeds|1
event|1
recognized|1
punishment|11
adjusted|1
much|4
obvious|1
substitute|1
changes|3
work|2
alcohol|1
citizen|1
pill|11
authorities|1
tests|2
wasted|1
employment|1
decades|1
equipped|1
authoritarian|1
consumption|2
team|2
protection|2
interested|1
society|3
sell|1
pregnancies|2
rubbish|3
bulbs|3
half|1
surveillance|1
brings|1
indirectly|1
aware|1
centres|7
paying|2
rather|2
evaders|1
certainly|1
intervene|3
a|1
reacted|1
risks|2
felonies|1
taking|1
bailout|1
labour|1
wishes|1
interest|1
mannheimers|1
environment|1
tegel|1
professions|1
brother|1
been|2
left|1
strengthened|1
monitored|2
run|4
availability|1
sense|2
development|2
queues|2
charged|1
factor|1
working|1
british|1
replacement|1
option|2
war|1
trip|1
acquired|1
watch|1
durations|1
killed|1
better|1
report|2
attention|4
reasons|6
stone-cold|1
cds|2
increase|5
want|2
shows|1
higher|2
trials|1
match|1
emptier|2
taken|3
off-times|1
has|6
skills|1
available|1
state|1
housing|1
elimination|1
stress|1
40|1
counselling|1
goes|2
population|2
indisputable|1
expected|1
observance|1
equipment|1
residents|1
finance|1
individuals|1
created|3
dirt|16
scanning|1
value|1
dependent|2
lead|4
prevent|4
clashes|1
bumps|1
weak|1
opposition|1
visit|1
brawl|1
life|3
help|1
children|3
effects|5
britain|1
security|1
airports|1
university|1
have|16
hotel|1
dignity|2
clear|1
lacking|2
impact|1
software|1
weaker|2
years|2
impossible|2
crimes|2
leisure|1
patients|1
structured|1
damage|1
days|2
restrain|1
human|2
fine|3
felons|1
obsolete|1
investment|1
broadcasting|2
participation|1
show|2
virus|1
collaborate|2
travellers|1
assignments|7
advice|4
medicine|8
soon|2
organizing|1
strong|1
proof|1
generations|2
traffic|5
thousands|1
practitioners|3
feld|4
world|4
capabilities|2
board|1
remain|5
caters|1
culturally|2
appearance|2
shrinking|1
find|2
temps|2
therapies|4
effect|9
challenge|3
purchasing|1
leaving|2
placements|1
lovers|1
given|2
media|2
watched|2
copied|2
researched|1
snack|1
catastrophe|1
digitized|1
deal|2
devices|1
akin|2
confirmed|1
delete|1
high|2
committees|2
social|1
things|1
break|1
noise|1
system|1
parents|1
expenditure|2
arm|1
laws|1
known|1
safety|1
pay|5
acquaintance|1
actors|1
offer|1
lumped|1
homicides|2
needs|3
market|2
character|2
simple|1
campaign|2
data|8
closer|1
thoughtless|1
got|2
rules|1
clean|1
persistently|1
estate|2
counts|1
journalism|1
today|5
so|1
resource-intensive|2
activities|2
staff|2
idea|1
neighbourhoods|1
fate|1
paths|1
payers|2
ways|1
flats|1
carries|1
awful|1
project|2
study|1
abilities|1
chickens|1
practices|1
scandal|3
familiar|2
states|2
turns|1
interesting|1
jam|2
contribute|1
control|3
hand|1
officers|4
threats|1
rates|6
successful|2
take|2
phase|1
collected|1
prices|4
arte|1
implementation|1
spaces|2
principles|1
promises|2
annoys|2
planning|1
danger|1
image|2
who|1
number|3
injured|1
machine|2
regulations|2
priority|1
path|1
independent|1
contracts|2
method|1
use|4
government|2
20|1
transport|1
question|1
snowden|1
works|2
enjoy|1
analysis|1
jump|1
too|1
metres|1
fitter|1
drank|1
employees|6
sacrificed|1
animals|1
stated|2
way|3
presence|2
continue|1
made|2
and/or|1
device|1
live|1
not|1
resources|1
physically|1
clinic|1
rightly|1
deter|1
location|1
attractive|2
wants|1
risk|1
flat|1
sundays|1
recent|1
magazines|1
away|1
responsibility|1
ages|2
ended|1
extend|2
accommodation|1
error|1
account|1
fluctuations|1
sea|1
shares|1
designed|1
factors|2
staggering|1
times|7
dissertation|2
economy|1
bank|1
singular|1
shopping|1
unfriendly|2
eligible|1
infections|1
viewed|1
react|1
grade|8
methods|1
differs|2
